成果作者,成果标题
"['岳晓飞', '王国仁', '赵宇海', '郑军', '李博扬']",Gaia系统中的面向图迭代作业的运行时间预测系统及方法
"['岳晓飞', '赵宇海', '王国仁', '季航旭', '李博扬']",一种Gaia系统中基于数据特征的动态优先级迭代器
"['印莹', '赵宇海', '郭颂', '张斌']",一种基于弹性维特征向量优化抽取的协同过滤推荐方法
"['陈德阳', '王国仁', '赵宇海', '郑军', '李荣华']",一种Gaia系统中的多作业合并与优化系统及方法
"['李文佳', '王国仁', '赵宇海', '郑军', '李博扬']",Gaia系统中基于资源反馈的负载均衡任务调度方法及系统
"['宗枫博', '王国仁', '赵宇海', '郑军']",一种Gaia系统中的多表连接优化方法
"['赵宇海', '印莹', '王国仁', '李晨光', '毕天驰']",一种基于垂直分解的并行频繁闭序列挖掘方法
"['李文佳', '赵宇海', '王国仁', '季航旭', '李博扬']",一种Gaia系统中的统一表达API调用系统及调用方法
"['郭文鹏', '赵宇海', '王国仁', '季航旭', '李博扬']",一种基于乐观容错方法的迭代器
"['王子萌', '王国仁', '赵宇海', '郑军', '李荣华']",一种Gaia中支持多作业并行执行的代理方法
"['赵恒泰', '王国仁', '赵宇海', '郑军', '李荣华']",一种Gaia系统中支持流数据与批数据交互的数据交换系统
"['季航旭', '韦刘国', '赵宇海', '王国仁', '吴刚', '李博扬']",一种Gaia系统中面向迭代计算的并行度动态调整方法
"['汪志峰', '赵宇海', '王国仁', '季航旭', '李博扬']",一种自适应任务调度器及方法
"['姜苏', '王国仁', '赵宇海', '郑军', '李博扬']",Gaia集群中面向数据分布特征的维表缓存管理方法及系统
"['韦刘国', '赵宇海', '王国仁', '季航旭', '李博扬']",一种基于受限恢复的图迭代器及方法
"['马卿云', '王国仁', '赵宇海', '郑军', '李荣华']",一种Gaia集群中面向节点间异构带宽的数据分发方法
"['赵恒泰', '赵宇海', '王国仁', '季航旭', '李博扬']",Gaia系统中面向融合计算的数据缓存装置与系统
"['汪诗烨', '赵宇海', '王国仁', '季航旭', '李博扬']",一种优化网络多连接的系统和方法
"['季航旭', '赵宇海', '王国仁', '吴刚', '李博扬']",一种基于Gaia系统的数据分类方法
"['赵宇海', '印莹', '郭文鹏', '王国仁', '祁宏伟']",面向大规模高维序列数据的交互特征并行选择方法
"['吴建华', '韩勇', '刘超', '杨启杰', '熊振华']",可调间隙实验平台
"['吴建华', '丁铖', '熊振华', '盛鑫军', '朱向阳']",一种机器人快速示教分拣系统和方法
"['吴建华', '丁铖', '单腾飞', '熊振华', '朱向阳']",一种人机安全防护系统和防护方法
"['吴建华', '韩勇', '刘超', '杨启杰', '熊振华']",基于继电反馈的伺服系统间隙辨识方法
"['韩勇', '熊振华', '吴建华']",一种基于指点杆的多通道触觉传感器及相应的控制方法
"['吴建华', '史晓立', '韩勇', '熊振华', '朱向阳']",一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
"['吴建华', '刘超', '杨启杰', '熊振华', '盛鑫军']",一种基于RTX+DSP的多轴运动控制器通信系统
"['吴建华', '熊振华', '韩勇', '史晓立', '朱向阳']",一种机器人动力学模型辨识方法
"['郑其斌', '丁丽', '李银伟', '赵旋', '李星', '邱政宣', '王晓鲲', '林文褀', '卜朝晖', '李萍', '朱亦鸣']",一种提高太赫兹被动成像单元灵敏度的调 制解调方法
"['李超', '高航', '吴世有', '方广有']",基于MIMO 阵列合成孔径的三维快速成像方法及装置
"['李超', '李宏伟', '吴世有', '高航', '方广有']",用于目标跟踪的测角方法
"['郭旭光', '郑兴国', '朱亦鸣']",基于伪表面等离激元三维堆叠结构的传感器
"['丁丽', '李萍', '朱亦鸣', '吴淑娴', '张紫欣']",一种基于矩阵填充的太赫兹稀疏成像设计
"['丁丽', '李银伟', '李萍', '朱亦鸣', '尹丽娟']",一种基于单站阵型映射到MIMO阵型的设计 方法
"['丁丽', '王喜旺', '夏克文', '朱亦鸣']",基于布鲁斯特角测量的太赫兹物质介电常数测量系统
