成果作者,成果标题
['李乾利'],2020年度博士后科学基金获得者选介
"['张春生', '刘宁', '张传庆', '周济芳', '周辉', '黄平平', '雷添杰', '张继勋', '倪绍虎', '褚卫江', '高阳', '彭鹏', '陈平志', '李翔宇', '卢景景']",高应力、高水压耦合作用下水工隧洞安全评价关键技术
"['周辉', '胡大伟', '张传庆', '杨凡杰', '卢景景', '刘宁']",深部岩体复杂力学响应关键实验技术与装备
"['刘泉声', '黄兴', '刘斌', '陈馈', '李涛', '张子新', '朱元广', '夏明锬', '潘玉丛', '卢景景']",深部复合地层隧(巷)道TBM安全高效掘进控制关键技术
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴']",2019中国智慧健康医疗创新成果奖
"['王清远', '刘永杰', '黄志勇', '王宠', '王志宇', '张宏']",复杂条件下高频振动疲劳试验技术与应用
"['王清远', '刘永杰', '王宠']",复杂荷载与环境下超长寿命疲劳测试技术及工程应用
"['张兆省', '李宗坤', '皇甫泽华', '葛巍', '林军亮', '郭新燕', '田毅博', '佟壮壮', '杜慧娟', '吴溪', '姬艳婷', '宗克强', '张赛', '陈彩虹', '郭慧娟']",前坪水库安全风险与成本风险协同控制技术
"['陶飞', '黄祖广', '于东', '胡天亮', '赵钦志', '邹孝付', '左颖', '李建双', '杨堂勇', '郑小年']",面向复杂数控装备的监测评估关键技术及标准体系
"['刘路广', '吴瑕', '关洪林', '崔远来', '潘少斌', '董苇', '杨小伟', '张建涛', '陈绪勋', '刘军武']",基于田间管理措施的水稻节水潜力研究
['刘日成'],"复杂裂隙岩体线性及非线性渗流行为的试验和数值模拟研究,青年人才托举工程"
['刘日成'],"裂隙岩体剪切渗流特性研究,青年科技奖(金奖)"
