成果作者,成果标题
"['洪军', '温涛', '叶正旺', '康珺']",外包空间数据库的完整性保证机制
"['时宇岑', '印莹', '赵宇海', '张斌', '王国仁']",基于多开发者社区的用户推荐算法
"['宗枫博', '赵宇海', '王国仁', '季航旭']",面向多表数据连接投影和连接顺序的优化方法
"['李源', '盛飞', '孙晶', '赵宇海', '王国仁']",一种大规模双网络中k-连通Truss子图发现算法
"['庞俊', '黄恒', '张寿', '舒智梁', '赵宇海']",DE-ELM-SSC+半监督分类算法
"['郭文鹏', '赵宇海', '王国仁', '韦刘国']",面向Flink迭代计算的高效容错处理技术
"['李敏', '于长永', '张峰', '马海涛', '赵宇海']",基于LSH的时间序列DTW相似性查询
"['赵宇海', '印莹', '李源', '汪嗣尧', '王国仁']",一种面向大规模序列数据的交互特征并行挖掘算法
"['潘敏佳', '李荣华', '赵宇海', '王国仁']",面向时序图数据的快速环枚举算法
"['何鑫', '祁欣', '马海涛', '赵宇海', '于长永']",轻量非对齐卷积神经网络模型探索
"['李赫', '印莹', '李源', '赵宇海', '王国仁']",基于多目标演化聚类的大规模动态网络社区检测
"['岳晓飞', '史岚', '赵宇海', '季航旭', '王国仁']",面向Flink迭代作业的动态资源分配策略
"['马海涛', '祁实', '于长永', '赵宇海']",基于频率的Read Mapping种子选择算法
"['李玲', '印莹', '赵宇海', '王国仁', '董祥军']",基于解耦概要图的大规模图数据高效分布式挖掘算法
"['岳晓飞', '史岚', '赵宇海', '季航旭', '王国仁']",Online Runtime Prediction Method for Distributed Iterative Jobs
"['于长永', '高明', '柏禄一', '赵宇海']",一种带有长度和位置约束的字符串索引方法
"['马卿云', '季航旭', '赵宇海', '毛克明', '王国仁']",一种分布式异构带宽环境下的高效数据分区方法
"['王保成', '刘利军', '黄青松']",面向中文医疗问答网站的相似问题检索研究
"['杨承启', '段彦隆', '冯旭鹏', '刘利军', '黄青松']",基于图像分割的肺结节CT图像哈希检索
"['王江峰', '刘利军', '黄青松', '刘骊', '付晓东']",基于胸部X 射线影像的常见疾病预测方法研究
"['赵佳雷', '黄青松', '刘利军', '黄冕']",基于图卷积神经网络的胸部放射影像疾病分类方法
"['甘霖', '刘骊', '刘利军', '付晓东', '黄青松']",结合边缘轮廓和姿态特征的人体精确解析模型
"['尤诚诚', '冯旭鹏', '刘利军', '黄青松']",基于主题模型的胸部X光片诊断报告异常检测方法
"['王波', '冯旭鹏', '刘利军', '黄青松']",基于改进YOLO算法的肺部CT图像中结节检测研究
"['郭峰', '黄冕', '刘利军', '黄青松']",基于多模型融合方法的肺结节良恶性分类
"['乔伟晨', '黄冕', '刘利军', '黄青松']",基于特征选择与残差融合的肝肿瘤分割模型
"['李维', '赵晓乐', '段彦隆', '刘利军', '黄青松']",基于CNN多层面二阶特征融合的肺结节分类
"['王保成', '刘利军', '黄青松']",基于LDA和卷积神经网络的半监督图像标注方法
"['王波', '黄冕', '刘利军', '黄青松', '单文琦']",基于多层聚焦Inception-V3卷积网络的细粒度图像分类
"['张帅威', '冯旭鹏', '刘利军', '黄青松']",面向肺结节多语义特征分类的不确定性多任务损失方法
"['贺周雨', '冯旭鹏', '刘利军', '黄青松']",面向大规模图像检索的深度强相关散列学习方法
"['贺周雨', '冯旭鹏', '刘利军', '黄青松']",基于SHN模型的商品图像检索方法
"['席作冰', '李长荣', '王奕']",高碳硬线钢中B类夹杂物的形成与控制技术
"['陈璐', '李长荣']",镧对高碳硬线钢中氧化铝夹杂物改性的研究
"['曾泽芸', '李长荣', '黎志英', '刘占林', '李正嵩', '翟勇强']",HRB500E抗震钢筋中钛化物析出热力学分析
"['曾泽芸', '李长荣', '黎志英', '翟勇强', '王劼']",Nb/V 复合强化对高强度钢筋显微组织和性能的影响
"['王奕', '李长荣', '曾泽芸', '席作冰', '庄昌凌']",氧化铝/二氧化铈X射线衍射及拉曼光谱研究
['李长荣'],基于晶格匹配的非金属夹杂物变性过程研究
"['王奕', '李长荣', '曾泽芸']",钢中非金属夹杂物图像/图谱表征技术
"['黎志英', '李长荣', '曾泽芸', '陈龙海', '李正嵩', '刘占林']",高强抗震钢筋中铌的碳、氮化物析出热力学研究
"['王林珠', '席作冰', '李长荣']",镁处理高碳硬线钢中夹杂物
"['王奕', '李长荣', '曾泽芸', '席作冰']",SWRS82B钢中稀土元素对氧化铝改性的晶体学
