项目名称,负责人,依托单位,成果标题,成果类型,成果作者
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,1.An Ant Colony Optimization Based on Information Entropy for Constraint Satisfaction Problems,类型：期刊论文,作者：Guan Boxin;Zhao Yuhai;Li Yuan
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,2.外包空间数据库的完整性保证机制,类型：期刊论文,作者：洪军;温涛;叶正旺;康珺
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,3.Ant Colony Optimization with Self-Evolving Parameter for Detecting Epistatic Interactions,类型：会议论文,作者：Boxin Guan;Yuhai Zhao;Yuan Li;Ying Yin
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,4.基于多开发者社区的用户推荐算法,类型：期刊论文,作者：时宇岑;印莹;赵宇海;张斌;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,5.A DenseNet Compression Model Based on Convolution Grouping Strategy Using Skyline Method,类型：期刊论文,作者：Changyong Yu;Xin He;Haitao Ma;Xin Qi;Jiarui Lu;Yuhai Zhao
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,6.面向多表数据连接投影和连接顺序的优化方法,类型：期刊论文,作者：宗枫博;赵宇海;王国仁;季航旭
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,7.Towards Coarse and Fine-grained Multi-Graph Multi-Label Learning,类型：期刊论文,作者：Yejiang Wang;Yuhai Zhao;Chengqi Zhang;Zhengkui Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,8.一种大规模双网络中k-连通Truss子图发现算法,类型：期刊论文,作者：李源;盛飞;孙晶;赵宇海;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,9.Detecting Statistically Significant Events in Large Heterogeneous Attribute Graphs via Densest Subgraphs,类型：期刊论文,作者：Xiaolin Fan;Yuan Li;Jing Sun;Yuhai Zhao;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,10.Privacy protection and integrity verification of aggregate queries in cloud computing,类型：期刊论文,作者：Hong Jun;Wen Tao;Guo Quan;Ye Zhengwang;Yin Ying
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,11.Efficient and Publicly Verifiable Outsourcing of Large-scale Matrix Multiplication,类型：期刊论文,作者：Sheng Gang;Tang Chunming;Gao Wei;Yin Ying;Cai Yunlu
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,12.DE-ELM-SSC+半监督分类算法,类型：期刊论文,作者：庞俊;黄恒;张寿;舒智梁;赵宇海
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,13.Effective and Efficient Dense Subgraph Query in Large-Scale Social Internet of Things,类型：期刊论文,作者：Yuhai Zhao;Xiangjun Dong;Ying Yin
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,14.面向Flink迭代计算的高效容错处理技术,类型：期刊论文,作者：郭文鹏;赵宇海;王国仁;韦刘国
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,15.基于LSH的时间序列DTW相似性查询,类型：期刊论文,作者：李敏;于长永;张峰;马海涛;赵宇海
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,16.Rapid and Efficient Bug Assignment Using ELM for IOT Software,类型：期刊论文,作者：Yin Ying;Dong Xiangjun;Xu Tiantian
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,17.Gaia系统中的面向图迭代作业的运行时间预测系统及方法,类型：专利,作者：岳晓飞;王国仁;赵宇海;郑军;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,18.一种面向大规模序列数据的交互特征并行挖掘算法,类型：期刊论文,作者：赵宇海;印莹;李源;汪嗣尧;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,19.HIGA: A Running History Information Guided Genetic Algorithm for Protein-Ligand Docking,类型：期刊论文,作者：Guan Boxin;Zhang Changsheng;Zhao Yuhai
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,20.Distributed Density Peaks Clustering Revisited,类型：期刊论文,作者：Jing Lu;Yuhai Zhao;Kian-Lee Tan;Zhengkui Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,21.A Fault-tolerant Optimization Mechanism for Spatiotemporal Data Analysis in Flink,类型：期刊论文,作者：Hangxu Ji;Gang Wu;Yuhai Zhao;Ye Yuan;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,22.一种Gaia系统中基于数据特征的动态优先级迭代器,类型：专利,作者：岳晓飞;赵宇海;王国仁;季航旭;李博扬
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,23.面向时序图数据的快速环枚举算法,类型：期刊论文,作者：潘敏佳;李荣华;赵宇海;王国仁
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,24.一种基于弹性维特征向量优化抽取的协同过滤推荐方法,类型：专利,作者：印莹;赵宇海;郭颂;张斌
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,25.轻量非对齐卷积神经网络模型探索,类型：期刊论文,作者：何鑫;祁欣;马海涛;赵宇海;于长永
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,26.Multi-job merging framework and scheduling optimization for Apache Flink,类型：会议论文,作者：Hangxu Ji;Gang Wu;Yuhai Zhao;Ye Yuan;Guoren Wang
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,赵宇海,东北大学,27.Efficient and exact multi-graph matching search,类型：期刊论文,作者：Jun Pang;Zhiliang Shu;Linlin Ding;chengyang jiang;chen liu;Xiaolong Zhang
