项目名称,成果标题
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,外包空间数据库的完整性保证机制
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,基于多开发者社区的用户推荐算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,面向多表数据连接投影和连接顺序的优化方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种大规模双网络中k-连通Truss子图发现算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,DE-ELM-SSC+半监督分类算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,面向Flink迭代计算的高效容错处理技术
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,基于LSH的时间序列DTW相似性查询
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,Gaia系统中的面向图迭代作业的运行时间预测系统及方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种面向大规模序列数据的交互特征并行挖掘算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中基于数据特征的动态优先级迭代器
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,面向时序图数据的快速环枚举算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种基于弹性维特征向量优化抽取的协同过滤推荐方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,轻量非对齐卷积神经网络模型探索
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中的多作业合并与优化系统及方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,Gaia系统中基于资源反馈的负载均衡任务调度方法及系统
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中的多表连接优化方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种基于垂直分解的并行频繁闭序列挖掘方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,基于多目标演化聚类的大规模动态网络社区检测
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中的统一表达API调用系统及调用方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,面向Flink迭代作业的动态资源分配策略
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,基于频率的Read Mapping种子选择算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种基于乐观容错方法的迭代器
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia中支持多作业并行执行的代理方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,基于解耦概要图的大规模图数据高效分布式挖掘算法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中支持流数据与批数据交互的数据交换系统
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia系统中面向迭代计算的并行度动态调整方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,Online Runtime Prediction Method for Distributed Iterative Jobs
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种自适应任务调度器及方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种带有长度和位置约束的字符串索引方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种基于受限恢复的图迭代器及方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种Gaia集群中面向节点间异构带宽的数据分发方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种分布式异构带宽环境下的高效数据分区方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,Gaia系统中面向融合计算的数据缓存装置与系统
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种优化网络多连接的系统和方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,一种基于Gaia系统的数据分类方法
基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究,面向大规模高维序列数据的交互特征并行选择方法
面向智能制造的人机合作伺服系统自律控制研究,可调间隙实验平台
面向智能制造的人机合作伺服系统自律控制研究,一种机器人快速示教分拣系统和方法
面向智能制造的人机合作伺服系统自律控制研究,一种人机安全防护系统和防护方法
面向智能制造的人机合作伺服系统自律控制研究,基于继电反馈的伺服系统间隙辨识方法
面向智能制造的人机合作伺服系统自律控制研究,一种基于指点杆的多通道触觉传感器及相应的控制方法
面向智能制造的人机合作伺服系统自律控制研究,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
面向智能制造的人机合作伺服系统自律控制研究,一种基于RTX+DSP的多轴运动控制器通信系统
面向智能制造的人机合作伺服系统自律控制研究,一种机器人动力学模型辨识方法
非合作安检太赫兹快速高分辨率成像研究,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
非合作安检太赫兹快速高分辨率成像研究,基于MIMO 阵列合成孔径的三维快速成像方法及装置
非合作安检太赫兹快速高分辨率成像研究,用于目标跟踪的测角方法
非合作安检太赫兹快速高分辨率成像研究,基于伪表面等离激元三维堆叠结构的传感器
非合作安检太赫兹快速高分辨率成像研究,一种基于矩阵填充的太赫兹稀疏成像设计
非合作安检太赫兹快速高分辨率成像研究,一种基于单站阵型映射到MIMO阵型的设计 方法
非合作安检太赫兹快速高分辨率成像研究,基于布鲁斯特角测量的太赫兹物质介电常数测量系统
非合作安检太赫兹快速高分辨率成像研究,成像装置、方法、电子设备及存储介质
非合作安检太赫兹快速高分辨率成像研究,基于透射型频控波束扫描器件的太赫兹成像系统
非合作安检太赫兹快速高分辨率成像研究,基于SIW的太赫兹传输结构及其制备方法和 应用
非合作安检太赫兹快速高分辨率成像研究,基于MIMO阵列的成像方法及装置
非合作安检太赫兹快速高分辨率成像研究,用于MIMO波束成形的栅旁瓣抑制方法
非合作安检太赫兹快速高分辨率成像研究,用于MIMO阵列的相移偏移成像方法及装置
非合作安检太赫兹快速高分辨率成像研究,基于MIMO-SAR的高精度三维快速成像方法及装置
非合作安检太赫兹快速高分辨率成像研究,一种太赫兹波谱系统噪声模拟方法及系统
非合作安检太赫兹快速高分辨率成像研究,太赫兹主、被动复合成像准光学扫描系统
非合作安检太赫兹快速高分辨率成像研究,基于二维矩量法和射线追迹法的透镜高效仿真、优化方法
非合作安检太赫兹快速高分辨率成像研究,一种用于MIMO-SAR的三维快速成像方法
非合作安检太赫兹快速高分辨率成像研究,基于多波束非线性鉴角的目标跟踪方法
非合作安检太赫兹快速高分辨率成像研究,一种基于复信号频谱运算的数字IQ校准方 法
非合作安检太赫兹快速高分辨率成像研究,基于多通道数字和差的单脉冲跟踪与成像方法
非合作安检太赫兹快速高分辨率成像研究,透镜的优化方法
非合作安检太赫兹快速高分辨率成像研究,一种等离激元辅助的芯片三维微纳结构的光学测量方法
非合作安检太赫兹快速高分辨率成像研究,成像装置、方法、电子设备及存储介质
非合作安检太赫兹快速高分辨率成像研究,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,面向中文医疗问答网站的相似问题检索研究
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于图像分割的肺结节CT图像哈希检索
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于胸部X 射线影像的常见疾病预测方法研究
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于图卷积神经网络的胸部放射影像疾病分类方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,结合边缘轮廓和姿态特征的人体精确解析模型
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于主题模型的胸部X光片诊断报告异常检测方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于改进YOLO算法的肺部CT图像中结节检测研究
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于多模型融合方法的肺结节良恶性分类
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于特征选择与残差融合的肝肿瘤分割模型
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,一种基于主题模型的胸部X光片诊断报告异常检测方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,一种基于骨科症状特征选取的文本处理方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于CNN多层面二阶特征融合的肺结节分类
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于综合特征表示与改进宽深度模型的相似病例推荐方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,一种深度强相关哈希学习的大规模图像检索方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,一种基于多阶段最大化注意力的多项选择机器阅读理解的方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于改进UNet++的视网膜血管图像分割方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于实体关系标注策略的中医电子病历实体关系提取方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于卷积神经网络对肺结节的恶性程度进行分类的方法
面向大规模医学图像及诊断报告的跨模态检索关键技术研究,基于LDA和卷积神经网络的半监督图像标注方法
