学者,论文标题
洪军,外包空间数据库的完整性保证机制
温涛,外包空间数据库的完整性保证机制
叶正旺,外包空间数据库的完整性保证机制
康珺,外包空间数据库的完整性保证机制
时宇岑,基于多开发者社区的用户推荐算法
印莹,基于多开发者社区的用户推荐算法
赵宇海,基于多开发者社区的用户推荐算法
张斌,基于多开发者社区的用户推荐算法
王国仁,基于多开发者社区的用户推荐算法
宗枫博,面向多表数据连接投影和连接顺序的优化方法
赵宇海,面向多表数据连接投影和连接顺序的优化方法
王国仁,面向多表数据连接投影和连接顺序的优化方法
季航旭,面向多表数据连接投影和连接顺序的优化方法
李源,一种大规模双网络中k-连通Truss子图发现算法
盛飞,一种大规模双网络中k-连通Truss子图发现算法
孙晶,一种大规模双网络中k-连通Truss子图发现算法
赵宇海,一种大规模双网络中k-连通Truss子图发现算法
王国仁,一种大规模双网络中k-连通Truss子图发现算法
庞俊,DE-ELM-SSC+半监督分类算法
黄恒,DE-ELM-SSC+半监督分类算法
张寿,DE-ELM-SSC+半监督分类算法
舒智梁,DE-ELM-SSC+半监督分类算法
赵宇海,DE-ELM-SSC+半监督分类算法
郭文鹏,面向Flink迭代计算的高效容错处理技术
赵宇海,面向Flink迭代计算的高效容错处理技术
王国仁,面向Flink迭代计算的高效容错处理技术
韦刘国,面向Flink迭代计算的高效容错处理技术
李敏,基于LSH的时间序列DTW相似性查询
于长永,基于LSH的时间序列DTW相似性查询
张峰,基于LSH的时间序列DTW相似性查询
马海涛,基于LSH的时间序列DTW相似性查询
赵宇海,基于LSH的时间序列DTW相似性查询
赵宇海,一种面向大规模序列数据的交互特征并行挖掘算法
印莹,一种面向大规模序列数据的交互特征并行挖掘算法
李源,一种面向大规模序列数据的交互特征并行挖掘算法
汪嗣尧,一种面向大规模序列数据的交互特征并行挖掘算法
王国仁,一种面向大规模序列数据的交互特征并行挖掘算法
潘敏佳,面向时序图数据的快速环枚举算法
李荣华,面向时序图数据的快速环枚举算法
赵宇海,面向时序图数据的快速环枚举算法
王国仁,面向时序图数据的快速环枚举算法
何鑫,轻量非对齐卷积神经网络模型探索
祁欣,轻量非对齐卷积神经网络模型探索
马海涛,轻量非对齐卷积神经网络模型探索
赵宇海,轻量非对齐卷积神经网络模型探索
于长永,轻量非对齐卷积神经网络模型探索
李赫,基于多目标演化聚类的大规模动态网络社区检测
印莹,基于多目标演化聚类的大规模动态网络社区检测
李源,基于多目标演化聚类的大规模动态网络社区检测
赵宇海,基于多目标演化聚类的大规模动态网络社区检测
王国仁,基于多目标演化聚类的大规模动态网络社区检测
岳晓飞,面向Flink迭代作业的动态资源分配策略
史岚,面向Flink迭代作业的动态资源分配策略
赵宇海,面向Flink迭代作业的动态资源分配策略
季航旭,面向Flink迭代作业的动态资源分配策略
王国仁,面向Flink迭代作业的动态资源分配策略
马海涛,基于频率的Read Mapping种子选择算法
祁实,基于频率的Read Mapping种子选择算法
于长永,基于频率的Read Mapping种子选择算法
赵宇海,基于频率的Read Mapping种子选择算法
李玲,基于解耦概要图的大规模图数据高效分布式挖掘算法
印莹,基于解耦概要图的大规模图数据高效分布式挖掘算法
赵宇海,基于解耦概要图的大规模图数据高效分布式挖掘算法
王国仁,基于解耦概要图的大规模图数据高效分布式挖掘算法
董祥军,基于解耦概要图的大规模图数据高效分布式挖掘算法
岳晓飞,Online Runtime Prediction Method for Distributed Iterative Jobs
史岚,Online Runtime Prediction Method for Distributed Iterative Jobs
赵宇海,Online Runtime Prediction Method for Distributed Iterative Jobs
季航旭,Online Runtime Prediction Method for Distributed Iterative Jobs
王国仁,Online Runtime Prediction Method for Distributed Iterative Jobs
于长永,一种带有长度和位置约束的字符串索引方法
高明,一种带有长度和位置约束的字符串索引方法
柏禄一,一种带有长度和位置约束的字符串索引方法
赵宇海,一种带有长度和位置约束的字符串索引方法
马卿云,一种分布式异构带宽环境下的高效数据分区方法
季航旭,一种分布式异构带宽环境下的高效数据分区方法
赵宇海,一种分布式异构带宽环境下的高效数据分区方法
毛克明,一种分布式异构带宽环境下的高效数据分区方法
王国仁,一种分布式异构带宽环境下的高效数据分区方法
王保成,面向中文医疗问答网站的相似问题检索研究
刘利军,面向中文医疗问答网站的相似问题检索研究
黄青松,面向中文医疗问答网站的相似问题检索研究
杨承启,基于图像分割的肺结节CT图像哈希检索
段彦隆,基于图像分割的肺结节CT图像哈希检索
冯旭鹏,基于图像分割的肺结节CT图像哈希检索
刘利军,基于图像分割的肺结节CT图像哈希检索
黄青松,基于图像分割的肺结节CT图像哈希检索
王江峰,基于胸部X 射线影像的常见疾病预测方法研究
刘利军,基于胸部X 射线影像的常见疾病预测方法研究
黄青松,基于胸部X 射线影像的常见疾病预测方法研究
刘骊,基于胸部X 射线影像的常见疾病预测方法研究
付晓东,基于胸部X 射线影像的常见疾病预测方法研究
赵佳雷,基于图卷积神经网络的胸部放射影像疾病分类方法
黄青松,基于图卷积神经网络的胸部放射影像疾病分类方法
刘利军,基于图卷积神经网络的胸部放射影像疾病分类方法
黄冕,基于图卷积神经网络的胸部放射影像疾病分类方法
甘霖,结合边缘轮廓和姿态特征的人体精确解析模型
刘骊,结合边缘轮廓和姿态特征的人体精确解析模型
刘利军,结合边缘轮廓和姿态特征的人体精确解析模型
付晓东,结合边缘轮廓和姿态特征的人体精确解析模型
黄青松,结合边缘轮廓和姿态特征的人体精确解析模型
尤诚诚,基于主题模型的胸部X光片诊断报告异常检测方法
