标题,g_li1,g_cont_left,g_cont_left4,g_cont_left5
"
							1.磁控RFID资产管理标签（UWEI）",外观设计 ,申请(专利权)人： 深圳市数码人安保科技有限公司 ,分类号： 14-02(10) ,简要说明：1．本外观设计产品的名称：磁控RFID资产管理标签（UWEI）。2．本外观设计产品的用途：本外观设计产品用于数据中心服务器机柜U位资产信息采集。3．本外观设计产品的设计要点：在于形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							2.北斗通讯定位终端一体机",外观设计 ,申请(专利权)人： 福州福大北斗通信科技有限公司 ,分类号： 14-03(10) ,简要说明：1.本外观设计产品的名称：北斗通讯定位终端一体机；2.本外观设计产品的用途：作为北斗卫星数据传输及卫星通讯定位的终端使用；3.本外观设计产品的要点：该产品的整体形状；4.最能表明设计要点的图片或者照片：立体图。
"
							3.高清网络半球摄像机（IPC1616）",外观设计 ,申请(专利权)人： 福建星网锐捷安防科技有限公司 ,分类号： 16-01(10) ,简要说明：1、本外观设计产品的名称：高清网络半球摄像机（IPC1616）。2、本外观设计产品的用途：作为网络摄像机。3、本外观设计的设计要点：在于产品的形状。4、最能表明设计要点的图片为立体图。
"
							4.易拉罐（阿露西亚）",外观设计 ,申请(专利权)人： 四川菊乐食品有限公司 ,分类号： 09-01(10) ,简要说明：1．本外观设计产品的名称：易拉罐（阿露西亚）。2．本外观设计产品的用途：本外观设计产品用于包装饮品。3．本外观设计产品的设计要点：产品外部形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：立体图。5．省略视图：后视图与主视图相同，省略后视图；俯视图无设计要点，省略俯视图；仰视图不为常见视图，省略仰视图。
"
							5.床（路易斯）",外观设计 ,申请(专利权)人： 东莞市金柄源实业有限公司 ,分类号： 06-02(10) ,简要说明：1．本外观设计产品的名称：床（路易斯）。2．本外观设计产品的用途：本外观设计产品用于床。3．本外观设计产品的设计要点：产品的整体形状设计。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							6.碗(元澜+元平)",外观设计 ,申请(专利权)人： 深圳市国瓷永丰源瓷业有限公司 ,分类号： 07-01(11) ,简要说明：1．本外观设计产品的名称：碗(元澜+元平)；2．本外观设计产品的用途：本外观设计产品用于一种餐具；3．本外观设计产品的设计要点：产品的形状与图案的结合；4．最能表明本外观设计设计要点的图片或照片：设计1立体图；5．指定基本设计：设计1为基本设计。
"
							7.便携式无线电干扰器",外观设计 ,申请(专利权)人： 中国电子科技集团公司第三十八研究所 ,分类号： 14-03(11) ,简要说明：1．本外观设计产品的名称：便携式无线电干扰器。2．本外观设计产品的用途：本外观设计产品用于无线通信设备的信号管制，保障重要场所的信息安全。3．本外观设计产品的设计要点：在于产品的外形。4．最能表明本外观设计设计要点的图片或照片：立体图。5.省略仰视图，此视图没有设计要点。
"
							8.泵",外观设计 ,申请(专利权)人： 陈灵军 ,分类号： 15-02(11) ,简要说明：1．本外观设计产品的名称：泵；2．本外观设计产品的用途：本外观设计产品用于输送液体；3．本外观设计产品的设计要点：本产品的整体形状；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							9.非致命综合拒止系统",外观设计 ,申请(专利权)人： 中国船舶重工集团公司第七一七研究所;武汉华中天勤防务技术有限公司 ,分类号： 22-99(11) ,简要说明：1．本外观设计产品的名称：非致命综合拒止系统；2．本外观设计产品的用途：装备于舰船、车辆或固定点通过照射警示、喊话警告、眩目眩晕、驱散干扰、声光威慑、气雾致伤等多种拒止功能对较远目标进行警示阻止和对较近目标进行驱离射击；3．本外观设计产品的设计要点：在于产品的整体形状；4．最能表明本外观设计设计要点的图片或照片：立体图；5．省略视图：仰视图不常见，省略。
"
							10.型材（HT1123）",外观设计 ,申请(专利权)人： 福建省南平铝业股份有限公司 ,分类号： 25-01(10) ,简要说明：1．本外观设计产品的名称：型材（HT1123）。2．本外观设计产品的用途：本外观设计产品用于制作建筑物门窗的构件。3．本外观设计产品的设计要点：主视图体现的形状设计。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							11.型材（17‑1）",外观设计 ,申请(专利权)人： 广东永祥福安防科技有限公司 ,分类号： 25-01(10) ,简要说明：1．本外观设计产品的名称：型材（17‑1）。2．本外观设计产品的用途：本外观设计产品用于卷闸导轨上。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							12.灯（1061）",外观设计 ,申请(专利权)人： 陈丹 ,分类号： 26-05(11) ,简要说明：1.本外观设计的名称是：灯(1061)。2.本外观设计的用途是：用于照明。3.本外观设计的要点在于产品的整体造型。4.本外观设计最能表现设计要点的是套件1主视图；5.本外观设计为成套产品。
"
							13.切片糖果（雪花）",外观设计 ,申请(专利权)人： 黄要平;曾全喜 ,分类号： 01-01(11) ,简要说明：1．本外观设计产品的名称：切片糖果（雪花）。2．本外观设计产品的用途：本外观设计产品用于食用或作为制作蛋糕等食品的装饰糖。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：后视图与主视图对称，故省略后视图，本外观设计产品为薄片产品，左视图、右视图、俯视图、仰视图无设计要点，故省略左视图、右视图、俯视图、仰视图。
"
							14.宠物食品（江米人）",外观设计 ,申请(专利权)人： 山东海创工贸有限公司 ,分类号： 01-06(10) ,简要说明：1．本外观设计产品的名称：宠物食品（江米人）。2．本外观设计产品的用途：本外观设计产品用于作为宠物食品，供宠物磨牙、洁齿、啃咬。3．本外观设计产品的设计要点：在于整体形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							15.按摩文胸",外观设计 ,申请(专利权)人： 郑威 ,分类号： 02-01(10) ,简要说明：1．本外观设计产品的名称：按摩文胸。2．本外观设计产品的用途：用于胸部按摩。3．本外观设计产品的设计要点：整体造型。4．最能表明本外观设计设计要点的图片或照片：立体图。5．左、右、俯、仰视图无设计要点，故省略。
"
							16.披风（熊猫）",外观设计 ,申请(专利权)人： 徐红军 ,分类号： 02-02(10) ,简要说明：1．本外观设计产品的名称：披风（熊猫）。2．本外观设计产品的用途：本外观设计产品用于人体穿着。3．本外观设计产品的设计要点：在于产品形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：使用状态参考图1。5．省略视图：因为服装产品设计的展示面为前身和后身，其余视图无设计要点，省略其余视图。
"
							17.校服（二十八中冬装运动服）",外观设计 ,申请(专利权)人： 湛江市腾一服装有限公司 ,分类号： 02-02(11) ,简要说明：1．本外观设计产品的名称：校服（二十八中冬装运动服）。2．本外观设计产品的用途：本外观设计产品用于学生穿的服装。3．本外观设计产品的设计要点：在于产品的形状、图案以及结合。4．最能表明本外观设计设计要点的图片或照片：组合状态参考图。5．省略视图：左视图，右视图，俯视图，仰视图无设计要点，故省略。
"
							18.遮尘帽",外观设计 ,申请(专利权)人： 金海荣 ,分类号： 02-03(11) ,简要说明：1．本外观设计产品的名称：遮尘帽。2．本外观设计产品的用途：本外观设计产品用于穿戴于人头部，用于遮尘。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：组合使用状态参考图。5．省略视图：其他视图无设计要点，故省略其他视图。
"
							19.拖鞋（11）",外观设计 ,申请(专利权)人： 邢喜丹 ,分类号： 02-04(10) ,简要说明：1．本外观设计产品的名称：拖鞋（11）。2．本外观设计产品的用途：本外观设计产品用于作为鞋子使用。3．本外观设计产品的设计要点：产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							20.胸章（白云安检）",外观设计 ,申请(专利权)人： 张凤英 ,分类号： 02-07(11) ,简要说明：1．本外观设计产品的名称：胸章（白云安检）。2．本外观设计产品的用途：本外观设计产品用于配戴在安检服上。3．本外观设计产品的设计要点：在于所附视图所表达的形状与图案。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：本外观设计产品为片状，故省略左视图、右视图、俯视图、仰视图；后视图为不常见，故省略。
"
							21.皮带头（一）",外观设计 ,申请(专利权)人： 王丽双 ,分类号： 02-07(10) ,简要说明：1．本外观设计产品的名称：皮带头（一）。2．本外观设计产品的用途：本外观设计产品用于安装在皮带上，起扣紧、装饰作用。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							22.手机壳（3）",外观设计 ,申请(专利权)人： 深圳市禹佳科技有限公司 ,分类号： 03-01(11) ,简要说明：1．本外观设计产品的名称：手机壳（3）。2．本外观设计产品的用途：本外观设计产品用于保护手机。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							23.车辆储物包",外观设计 ,申请(专利权)人： 纳恩博（北京）科技有限公司 ,分类号： 03-01(11) ,简要说明：1．本外观设计产品的名称：车辆储物包。2．本外观设计产品的用途：本外观设计产品用于储物，具体为安装于车辆上的储物包。3．本外观设计产品的设计要点：在于产品的形状、图案及其结合。4．最能表明本外观设计设计要点的图片或照片：设计1主视图。5．指定基本设计：设计1。
"
							24.胶棉拖把（J6揽净双滚轮）",外观设计 ,申请(专利权)人： 嘉兴洁阳家居用品有限公司 ,分类号： 04-01(10) ,简要说明：1、本外观设计产品名称：胶棉拖把(J6揽净双滚轮)。2、本外观设计产品用途：本外观设计用于拖地。3、本外观设计产品的设计要点在于：在于拖把杆和拖把头。4、最能表明本外观设计产品设计要点的代表图：立体图。
"
							25.杯刷（201708）",外观设计 ,申请(专利权)人： 宁波三邦日用品有限公司 ,分类号： 04-01(11) ,简要说明：1．本外观设计产品的名称：杯刷（201708）。2．本外观设计产品的用途：本外观设计产品用于清洁杯具。3．本外观设计产品的设计要点：设计要点在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							26.牙刷",外观设计 ,申请(专利权)人： 株式会社LG生活健康 ,分类号： 04-02(11) ,简要说明：1．本外观设计产品的名称：牙刷。2．本外观设计产品的用途：本外观设计产品用于刷牙。3．本外观设计产品的设计要点：外观设计产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：右视图与左视图对称，故省略右视图。
"
							27.无纺布",外观设计 ,申请(专利权)人： 浙江德康环保科技有限公司 ,分类号： 05-05(11) ,简要说明：1．本外观设计产品的名称：无纺布。2．本外观设计产品的用途：本外观设计产品用于无纺布或其他纸张、纺织品的印刷、压花或提花。3．本外观设计产品的设计要点：本发明的图案和形状。4．最能表明本外观设计设计要点的图片或照片：主视图。5．省略视图：外观设计产品为平面产品，故省略其他视图。6．本外观设计无纺布的单元图案为四方连续，无限定边界。
"
							28.避光反馈型放松椅",外观设计 ,申请(专利权)人： 安徽徽韵心理咨询有限公司 ,分类号： 06-01(10) ,简要说明：1．本外观设计产品的名称：避光反馈型放松椅。2．本外观设计产品的用途：本外观设计产品用于心理训练中，供来访者专业心理训练使用的放松工具椅。3．本外观设计产品的设计要点：外观。4．最能表明本外观设计设计要点的图片或照片：主视图。
"
							29.餐椅",外观设计 ,申请(专利权)人： 彭廷斌 ,分类号： 06-01(10) ,简要说明：1．本外观设计产品的名称：餐椅。2．本外观设计产品的用途：本外观设计产品用于家具；3．本外观设计产品的设计要点：在于椅脚部分；4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							30.躺椅（秋夕）",外观设计 ,申请(专利权)人： 杭州精效家具制造有限公司 ,分类号： 06-01(11) ,简要说明：1．本外观设计产品的名称：躺椅（秋夕）。2．本外观设计产品的用途：本外观设计产品用于家具。3．本外观设计产品的设计要点：形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							31.椅子（KB‑5812）",外观设计 ,申请(专利权)人： 安吉卡贝隆家具有限公司 ,分类号： 06-01(10) ,简要说明：1．本外观设计产品的名称：椅子（KB‑5812）。2．本外观设计产品的用途：本外观设计产品用于作为一种坐具。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。
"
							32.沙发短椅（FA003）",外观设计 ,申请(专利权)人： 叶健泉 ,分类号： 06-01(11) ,简要说明：1．本外观设计产品的名称：沙发短椅（FA003）;2．本外观设计产品的用途：本外观设计产品用于供人坐的家具；3．本外观设计产品的设计要点：本产品形状；4．最能表明本外观设计设计要点的图片或照片：设计1立体图；5．省略视图：其它视图不常见省略；6.设计1作为基本设计。
"
							33.桌子（全榫卯可拆装）",外观设计 ,申请(专利权)人： 林德荣 ,分类号： 06-03(10) ,简要说明：1．本外观设计产品的名称：桌子（全榫卯可拆装）。2．本外观设计产品的用途：本外观设计产品用于室内家具。3．本外观设计产品的设计要点：在于产品的形状。4．最能表明本外观设计设计要点的图片或照片：立体图1。5．省略视图：后视图与主视图对称，故省略；右视图与左视图对称，故省略。
"
							34.电脑桌（自由组合）",外观设计 ,申请(专利权)人： 王安源 ,分类号： 06-03(10) ,简要说明：1．本外观设计产品的名称：电脑桌（自由组合）。2．本外观设计产品的用途：本外观设计产品用于电脑桌等。3．本外观设计产品的设计要点：在于整体的形状。4．最能表明本外观设计设计要点的图片或照片：立体图。
"
							35.物理实验台",外观设计 ,申请(专利权)人： 广东启元科教实业有限公司 ,分类号： 06-03(11) ,简要说明：1．本外观设计产品的名称：物理实验台。2．本外观设计产品的用途：本外观设计产品用于实验台。3．本外观设计产品的设计要点：产品的整体形状设计。4．最能表明本外观设计设计要点的图片或照片：主视图。
