专利名称,发明人,编号,依托机构,所属项目
1.一种Gaia系统中支持流数据与批数据交互的数据交换系统,赵恒泰;王国仁;赵宇海;郑军;李荣华,专利编号：201911067510.X,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究；
2.一种Gaia中支持多作业并行执行的代理方法,王子萌;王国仁;赵宇海;郑军;李荣华,专利编号：201911070906.X,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究；
3.一种基于乐观容错方法的迭代器,郭文鹏;赵宇海;王国仁;季航旭;李博扬,专利编号：201911021197.6,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究；
4.Gaia系统中的面向图迭代作业的运行时间预测系统及方法,岳晓飞;王国仁;赵宇海;郑军;李博扬,专利编号：202110890134.5,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究；
5.一种Gaia系统中的统一表达API调用系统及调用方法,李文佳;赵宇海;王国仁;季航旭;李博扬,专利编号：202011477680.8,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究；
6.一种基于三重特征选择和增量学习的在线流分类方法,王兴伟;赵伟莨;王卓楠;贾杰,专利编号：CN202210714868.2,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究；
7.5G/B5G环境下移动社交云资源分配技术,王兴伟;代晨曦;任庆庆;易波,专利编号：CN202110684417.4,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究；
8.基于灰盒模糊技术的QUIC协议测试方法,李福亮;訾阿楠;彭林枫;王兴伟,专利编号：CN202110956672.X,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究；
9.一种机器人动力学模型辨识方法,吴建华;熊振华;韩勇;史晓立;朱向阳,专利编号：CN201910452880.9,上海交通大学,面向智能制造的人机合作伺服系统自律控制研究；
10.基于伪表面等离激元三维堆叠结构的传感器,郭旭光;郑兴国;朱亦鸣,专利编号：CN202210012029.6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
11.用于目标跟踪的测角方法,李超;李宏伟;吴世有;高航;方广有,专利编号：ZL 201910106239.X,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
12.一种基于矩阵填充的太赫兹稀疏成像设计,丁丽;李萍;朱亦鸣;吴淑娴;张紫欣,专利编号：201910460367 .4,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
13.一种提高太赫兹被动成像单元灵敏度的调 制解调方法,郑其斌;丁丽;李银伟;赵旋;李星;邱政宣;王晓鲲;林文褀;卜朝晖;李萍;朱亦鸣,专利编号：202011069662 .6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
14.成像装置、方法、电子设备及存储介质,李超;高航;吴世有;方广有,专利编号：202010073003.3,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
15.基于SIW的太赫兹传输结构及其制备方法和 应用,丁丽;李萍;朱亦鸣;熊毓俊;鲍佳宸,专利编号：202010376340 .X,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
16.一种基于单站阵型映射到MIMO阵型的设计 方法,丁丽;李银伟;李萍;朱亦鸣;尹丽娟,专利编号：202011171311 .6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究；
17.一种基于词性增量迭代的在线医疗文本症状识别方法,黄青松;尤诚诚;余慧;刘利军;冯旭鹏,专利编号：201910490853.0,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究；
18.一种减少加废钢时粘渣的废钢槽及方法,王林珠;李长荣;庄昌凌;李翔;龙潇,专利编号：202210347882.3,贵州大学,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究；
