,专利名称,发明人,编号,依托机构,所属项目
0,,"['赵恒泰', '王国仁', '赵宇海', '郑军', '李荣华']",201911067510.X,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
1,,"['王子萌', '王国仁', '赵宇海', '郑军', '李荣华']",201911070906.X,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
2,,"['郭文鹏', '赵宇海', '王国仁', '季航旭', '李博扬']",201911021197.6,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
3,,"['岳晓飞', '王国仁', '赵宇海', '郑军', '李博扬']",202110890134.5,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
4,,"['李文佳', '赵宇海', '王国仁', '季航旭', '李博扬']",202011477680.8,东北大学,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
5,,"['王兴伟', '赵伟莨', '王卓楠', '贾杰']",CN202210714868.2,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究
6,,"['王兴伟', '代晨曦', '任庆庆', '易波']",CN202110684417.4,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究
7,,"['李福亮', '訾阿楠', '彭林枫', '王兴伟']",CN202110956672.X,东北大学,基于群智演化的移动机器人网络协同决策及任务调度方法研究
8,,"['吴建华', '熊振华', '韩勇', '史晓立', '朱向阳']",CN201910452880.9,上海交通大学,面向智能制造的人机合作伺服系统自律控制研究
9,,"['郭旭光', '郑兴国', '朱亦鸣']",CN202210012029.6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
10,,"['李超', '李宏伟', '吴世有', '高航', '方广有']",ZL 201910106239.X,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
11,,"['丁丽', '李萍', '朱亦鸣', '吴淑娴', '张紫欣']",201910460367 .4,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
12,,"['郑其斌', '丁丽', '李银伟', '赵旋', '李星', '邱政宣', '王晓鲲', '林文褀', '卜朝晖', '李萍', '朱亦鸣']",202011069662 .6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
13,,"['李超', '高航', '吴世有', '方广有']",202010073003.3,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
14,,"['丁丽', '李萍', '朱亦鸣', '熊毓俊', '鲍佳宸']",202010376340 .X,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
15,,"['丁丽', '李银伟', '李萍', '朱亦鸣', '尹丽娟']",202011171311 .6,中国科学院空天信息创新研究院,非合作安检太赫兹快速高分辨率成像研究
16,,"['黄青松', '尤诚诚', '余慧', '刘利军', '冯旭鹏']",201910490853.0,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
17,,"['王林珠', '李长荣', '庄昌凌', '李翔', '龙潇']",202210347882.3,贵州大学,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
18,,"['王江峰', '刘利军', '冯旭鹏', '黄青松']",202011308230.6,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
19,,"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",ZL202022370065.9,西南民族大学,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
20,,"['黄青松', '段彦隆', '赵晓乐', '刘利军', '冯旭鹏', '傅铁威']",201910490546.2,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
21,,"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",ZL202120374580.6,中国科学院南京土壤研究所,施用有机物料对潮土结构演变的影响机制研究
22,,"['郭辉', '周自荣', '陈玉']",202110798595.X,西南科技大学,冲击荷载作用下典型聚脲涂覆防护结构的动态响应与失效机理
23,,"['王林珠', '李翔', '李长荣', '庄昌凌', '龙潇']",202210347881.9,贵州大学,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
24,,"['黄青松', '杨承启', '王艺平', '刘利军', '冯旭鹏']",201910490881.2,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
25,,"['黄青松', '单文琦', '刘利军', '冯旭鹏']",201911321749.5,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
26,,"['颜洪', '黄青松', '刘利军', '冯旭鹏']",202011590554.3,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
27,,"['黄青松', '张帅威', '刘利军', '冯旭鹏']",201911354214.8,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
28,,"['朱红松', ' 陈良银', ' 郭振乾', ' 张靖宇', ' 陈永乐']",,中国科学院信息工程研究所,基于无线环境认知的多网络优化共存关键技术研究
29,,"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",ZL202130096875.7,中国科学院南京土壤研究所,融合宇宙射线中子法和无人机遥感的中尺度土壤水分反演方法研究
30,,"['张志军', '杨珩', '李乾利', '李慧慧']",CN202110447448.8,上海大学,基于像素化结构的ZnO:Ga单晶纳米棒阵列 α粒子闪烁屏研究
31,,"['黄青松', '陈尧文', '谢先章', '刘利军', '冯旭鹏']",201910490550.9,昆明理工大学,面向大规模医学图像及诊断报告的跨模态检索关键技术研究
32,,"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",ZL202120370842.1,中国科学院南京土壤研究所,施用有机物料对潮土结构演变的影响机制研究
33,,"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",ZL202022466280.9,西南民族大学,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
34,,"['孟宪伟', '夏娜', '谭龙飞', '付长慧', '吴琼', '任湘菱']",ZL2019 10047152.X,中国人民解放军总医院,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
35,,"['卢景景', '谢业统', '周辉', '张传庆', '胡大伟', '龚春艳', '韩钢']",ZL201810312644.2,中国科学院武汉岩土力学研究所,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
36,,"['卢景景', '龚春艳', '周辉', '张传庆', '杨凡杰', '胡大伟', '高阳', '杨艳霜']",ZL201810555095.1,中国科学院武汉岩土力学研究所,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
37,,"['龙丹冰', '魏君豪', '杨成']",ZL202110674797.3,西南交通大学,基于BIM的建筑结构设计知识本体及推演方法
38,,"['方亚鹏', '宋静如', '孙翠霞', '张俊威', '熊哲强']",CN201910334696.4,湖北工业大学,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
39,,"['方亚鹏', '宋静如', '孙翠霞', '张俊威', '熊哲强']",CN201910334696.4,湖北工业大学,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
40,,"['付凌雨', '辛芳冉']",2020111024132,中国医科大学,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
41,,"['董恩清', '金叶', '纪慧中', '倪天骄', '薛鹏', '傅宇', '曹海', '崔文韬']",202010402866.0,山东大学,肺部4D CT图像的高精度非刚性配准算法研究
42,,"['卢景景', '龚春艳', '周辉', '张传庆', '高阳', '杨凡杰', '朱勇', '杨艳霜']",ZL201810554818.6,中国科学院武汉岩土力学研究所,硬脆性岩石强度演化特征与深埋岩体长期强度研究
43,,"['宋尔卫', '龚畅', '沈君', '杨雅平', '程子亮', '林婉仪']",202011155176.6,中山大学,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
44,,"['周佩剑', '颜朝寿', '蒋豪杰', '牟介刚']",ZL201910489131.3,中国计量大学,离心泵叶轮内失速涡的触发机理及动力学特性研究
45,,"['吴瑛', '陈玉玲', '邓颖', '吴芳琴', '岳鹏', '刘溢思', '张艳']",201910806874.9,首都医科大学,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
46,,"['张宏', '王清远', '刘永杰', '王宠', '李浪']",201910507043.1,四川大学,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
